Date,AAPL,AVGO,GOOGL,JPM,META,MSFT,NFLX,NVDA,TSLA,V,WMT,^GSPC
2020-10-12,121.14340209960938,34.23685073852539,77.76312255859375,90.40777587890625,274.2454833984375,212.63290405273438,539.8099975585938,14.18350601196289,147.43333435058594,199.49429321289062,44.956825256347656,3534.219970703125
2020-10-13,117.9298095703125,34.15269470214844,77.88639068603516,88.94275665283203,274.63336181640625,214.03512573242188,554.0900268554688,14.205689430236816,148.88333129882812,197.48387145996094,45.57390594482422,3511.929931640625
2020-10-14,118.01744842529297,34.04616165161133,77.70597076416016,88.44854736328125,270.3369140625,212.1143341064453,541.4500122070312,14.053146362304688,153.76666259765625,195.434814453125,44.860225677490234,3488.669921875
2020-10-15,117.5500259399414,34.013038635253906,77.30984497070312,89.77234649658203,265.26470947265625,210.96180725097656,541.9400024414062,13.928271293640137,149.6266632080078,192.8734588623047,45.04409408569336,3483.340087890625
2020-10-16,115.90425872802734,33.8984489440918,77.9177017211914,89.58702087402344,264.4790344238281,210.96180725097656,530.7899780273438,13.770242691040039,146.55667114257812,193.55972290039062,45.100196838378906,3483.81005859375
2020-10-19,112.94386291503906,33.640621185302734,76.04145050048828,88.07786560058594,259.9737854003906,205.7372283935547,530.719970703125,13.457430839538574,143.61000061035156,190.37979125976562,44.551673889160156,3426.919921875
2020-10-20,114.43379974365234,33.749839782714844,77.09164428710938,88.58092498779297,266.10015869140625,206.15017700195312,525.4199829101562,13.604742050170898,140.64666748046875,191.0853271484375,44.847747802734375,3443.1201171875
2020-10-21,113.81053924560547,33.30759048461914,78.82674407958984,87.69837951660156,277.209228515625,206.29425048828125,489.04998779296875,13.484350204467773,140.8800048828125,191.79095458984375,45.003578186035156,3435.56005859375
2020-10-22,112.71985626220703,33.42575454711914,79.85408782958984,90.79608917236328,276.6025695800781,206.3806915283203,485.2300109863281,13.321089744567871,141.92999267578125,191.36561584472656,44.73866653442383,3453.489990234375
2020-10-23,112.0284423828125,33.36757278442383,81.16224670410156,91.61686706542969,283.23614501953125,207.66761779785156,488.2799987792969,13.54965591430664,140.2100067138672,191.38499450683594,44.83216857910156,3465.389892578125
2020-10-26,112.03819274902344,32.50096893310547,78.74224853515625,89.3487319946289,275.5980529785156,201.7611846923828,488.239990234375,13.101997375488281,140.0933380126953,186.6103057861328,44.30546188354492,3400.969970703125
2020-10-27,113.54761505126953,32.19300842285156,79.4674072265625,87.6630630493164,281.7443542480469,204.8056640625,488.92999267578125,13.356732368469238,141.55999755859375,183.70098876953125,44.52674102783203,3390.679931640625
2020-10-28,108.28897094726562,31.083799362182617,75.08966064453125,85.20077514648438,266.2095642089844,194.65420532226562,486.239990234375,12.58928108215332,135.33999633789062,174.8184814453125,43.64474868774414,3271.030029296875
2020-10-29,112.30110931396484,31.7820987701416,77.37993621826172,85.75677490234375,279.2977294921875,196.61343383789062,504.2099914550781,12.985097885131836,136.94332885742188,178.68460083007812,43.60734176635742,3310.110107421875
2020-10-30,106.0102310180664,31.300443649291992,80.32376861572266,86.52459716796875,261.6744079589844,194.45249938964844,475.739990234375,12.49655818939209,129.34666442871094,175.63037109375,43.242713928222656,3269.9599609375
2020-11-02,105.92257690429688,31.44547462463379,80.7318344116211,88.47502136230469,259.9339599609375,194.31800842285156,484.1199951171875,12.543170928955078,133.50332641601562,178.5589599609375,43.7569465637207,3310.239990234375
2020-11-03,107.54888153076172,31.670185089111328,81.7924575805664,91.26384735107422,263.8525085449219,198.25567626953125,487.2200012207031,12.980607986450195,141.3000030517578,182.03851318359375,44.49868392944336,3369.159912109375
2020-11-04,111.9407958984375,32.643310546875,86.77210235595703,88.47502136230469,285.8120422363281,207.82131958007812,496.95001220703125,13.753045082092285,140.32666015625,187.4801788330078,44.243133544921875,3443.43994140625
2020-11-05,115.91400909423828,34.097198486328125,87.5996322631836,92.09344482421875,293.0721435546875,214.4480743408203,513.760009765625,14.11770248413086,146.02999877929688,191.02737426757812,44.713741302490234,3510.449951171875
2020-11-06,115.78231048583984,34.07481002807617,87.46196746826172,90.86669921875,291.80914306640625,214.86106872558594,514.72998046875,14.518501281738281,143.31666564941406,191.82962036132812,45.430545806884766,3509.43994140625
2020-11-09,113.47036743164062,33.620025634765625,87.54596710205078,103.16935729980469,277.2489929199219,209.74212646484375,470.5,13.590032577514648,140.4199981689453,205.5641632080078,44.73554992675781,3550.5
2020-11-10,113.12895202636719,32.509033203125,86.3680191040039,102.83399963378906,270.9435729980469,202.654296875,480.239990234375,12.731854438781738,136.7866668701172,206.17308044433594,45.3651008605957,3545.530029296875
2020-11-11,116.56270599365234,33.6540412902832,86.84069061279297,101.29837036132812,274.9714660644531,207.97499084472656,490.760009765625,13.37791919708252,139.0433349609375,205.5834503173828,46.119319915771484,3572.659912109375
2020-11-12,116.2895736694336,33.1419677734375,86.62149810791016,100.05399322509766,273.5791320800781,206.908935546875,486.7699890136719,13.416552543640137,137.25332641601562,201.5953369140625,46.197235107421875,3537.010009765625
2020-11-13,116.33834075927734,33.43739700317383,88.08473205566406,100.68061828613281,275.4389953613281,207.93655395507812,482.8399963378906,13.257280349731445,136.1666717529297,203.7442626953125,46.91716766357422,3585.14990234375
2020-11-16,117.35286712646484,34.09182357788086,88.17269134521484,103.52239227294922,277.43792724609375,208.62802124023438,479.1000061035156,13.474881172180176,136.02999877929688,205.89321899414062,47.509307861328125,3626.909912109375
