Date,AAPL,F,GM,GOOGL,MCD,MSFT,SBUX,TGT,TSLA,WMT,^GSPC
2020-10-12,121.00609588623048,5.886927604675293,31.21981239318848,77.76313018798828,202.86973571777344,212.28396606445312,81.3152847290039,144.4470672607422,147.43333435058594,44.8520736694336,3534.219970703125
2020-10-13,117.79612731933594,5.956005096435547,30.8902645111084,77.88639068603516,203.98228454589844,213.68382263183597,80.75991821289062,145.38621520996094,148.88333129882812,45.46772384643555,3511.929931640625
2020-10-14,117.88367462158205,5.810174942016602,30.6964111328125,77.70597839355469,204.2245178222656,211.76617431640625,79.99853515625,143.92044067382812,153.76666259765625,44.75568389892578,3488.669921875
2020-10-15,117.4167709350586,5.848550796508789,31.58813095092773,77.30984497070312,206.03689575195312,210.61558532714844,79.56857299804688,145.22828674316406,149.6266632080078,44.93913650512695,3483.340087890625
2020-10-16,115.77287292480467,5.886927604675293,32.42169570922852,77.91770935058594,205.79464721679688,210.61558532714844,79.2908935546875,144.75424194335938,146.55667114257812,44.99510192871094,3483.81005859375
2020-10-19,112.81581115722656,5.825525760650635,32.324764251708984,76.04145050048828,202.7710418701172,205.3995819091797,78.46680450439453,143.99061584472656,143.61000061035156,44.44786071777344,3426.919921875
2020-10-20,114.3040771484375,5.940654277801514,34.50559616088867,77.0916519165039,204.07196044921875,205.8118438720703,79.28193664550781,144.7104034423828,140.64666748046875,44.74325180053711,3443.1201171875
2020-10-21,113.68152618408205,6.025082588195801,34.670372009277344,78.82675170898438,204.7359161376953,205.95571899414065,79.06697845458984,143.32354736328125,140.8800048828125,44.898712158203125,3435.56005859375
2020-10-22,112.59207916259766,6.301392078399658,36.25995635986328,79.85409545898438,205.59722900390625,206.0419921875,80.04332733154297,140.08477783203125,141.92999267578125,44.63441467285156,3453.489990234375
2020-10-23,111.9014663696289,6.263014793395996,35.69778823852539,81.16224670410156,205.20248413085935,207.32681274414065,81.33319854736328,140.63772583007812,140.2100067138672,44.72769927978516,3465.389892578125
2020-10-26,111.91116333007812,6.16323709487915,34.718833923339844,78.74225616455078,201.2188415527344,201.4300842285156,80.31204223632812,138.6540985107422,140.0933380126953,44.20221328735352,3400.969970703125
2020-10-27,113.41888427734376,6.078810214996338,33.817420959472656,79.46741485595703,200.05247497558597,204.4694976806641,80.66139221191406,137.82899475097656,141.55999755859375,44.4229850769043,3390.679931640625
2020-10-28,108.16619873046876,5.9099531173706055,33.042015075683594,75.08965301513672,192.6235198974609,194.3347320556641,78.08164978027344,136.23155212402344,135.33999633789062,43.54304885864258,3271.030029296875
2020-10-29,112.17381286621094,6.063458442687988,33.817420959472656,77.37993621826172,192.85675048828125,196.2907257080078,79.09384155273438,135.38893127441406,136.94332885742188,43.5057258605957,3310.110107421875
2020-10-30,105.8900375366211,5.932979106903076,33.46849060058594,80.32376861572266,191.1071929931641,194.1333923339844,77.89353942871094,133.60720825195312,129.34666442871094,43.14194107055664,3269.9599609375
2020-11-02,105.8025131225586,5.917627811431885,33.487876892089844,80.73182678222656,190.71241760253903,193.9991607666016,77.00676727294922,135.5118408203125,133.50332641601562,43.65499496459961,3310.239990234375
2020-11-03,107.4269561767578,6.04810905456543,34.263282775878906,81.79246520996094,194.51661682128903,197.9303131103516,79.17444610595703,137.56570434570312,141.3000030517578,44.394996643066406,3369.159912109375
2020-11-04,111.81391143798828,5.863902568817139,34.15666198730469,86.77210235595703,192.78500366210935,207.48020935058597,80.4284896850586,137.46914672851562,140.32666015625,44.140045166015625,3443.43994140625
2020-11-05,115.7825927734375,6.132535457611084,35.99825668334961,87.5996322631836,194.07696533203125,214.09613037109372,81.17196655273438,139.23336791992188,146.02999877929688,44.60954666137695,3510.449951171875
2020-11-06,115.65106201171876,5.979031085968018,36.318115234375,87.46195983886719,194.30126953125,214.5084381103516,81.19883728027344,141.75244140625,143.31666564941406,45.3246955871582,3509.43994140625
2020-11-09,113.34172058105467,6.293715953826904,37.762306213378906,87.54595947265625,191.3045654296875,209.39784240722656,85.88353729248047,135.96824645996094,140.4199981689453,44.63131713867188,3550.5
2020-11-10,113.00070190429688,6.43187141418457,39.81713485717773,86.36802673339844,191.39431762695312,202.32174682617188,84.52462005615234,138.74188232421875,136.7866668701172,45.25939178466797,3545.530029296875
2020-11-11,116.43055725097656,6.393495082855225,39.31311798095703,86.84070587158203,195.6112365722656,207.6336212158203,85.5325698852539,140.16375732421875,139.0433349609375,46.0118522644043,3572.659912109375
2020-11-12,116.15774536132812,6.301392078399658,38.111236572265625,86.62150573730469,191.1699981689453,206.56935119628903,84.17361450195312,140.0233154296875,137.25332641601562,46.08958435058594,3537.010009765625
2020-11-13,116.20646667480467,6.554676055908203,39.92374801635742,88.08472442626953,191.35841369628903,207.59527587890625,86.00054931640625,142.96372985839844,136.1666717529297,46.80784606933594,3585.14990234375
2020-11-16,117.21983337402344,6.754232406616211,40.83485412597656,88.17269897460938,194.45382690429688,208.28565979003903,87.99846649169922,144.98245239257812,136.02999877929688,47.39861297607422,3626.909912109375
2020-11-17,116.33312225341795,6.715857028961182,40.6894645690918,87.5578842163086,193.8078155517578,205.62969970703125,88.7364273071289,143.69570922851562,147.20333862304688,46.44404983520508,3609.530029296875
2020-11-18,115.00794982910156,6.769582271575928,41.406715393066406,86.51315307617188,193.3681640625,202.91873168945312,88.11546325683594,147.05364990234375,162.2133331298828,46.35698318481445,3567.7900390625
2020-11-19,115.6023406982422,6.769582271575928,41.503639221191406,87.40430450439453,193.00033569335935,204.20692443847656,87.98046875,151.03733825683594,166.42333984375,47.299129486083984,3581.8701171875
