Date,AAPL,ADA-USD,BND,BTC-USD,DAI-USD,GOOGL,IVV,MATIC-USD,META,MSFT,NVDA,QQQ,SOL-USD,SPY,TSLA,VTI,VUG,XPR-USD
2020-10-12,121.14340209960938,0.11003399640321732,76.61486053466797,11555.36328125,1.0115439891815186,77.76312255859375,330.0461730957031,0.01790500059723854,274.2454833984375,212.63290405273438,14.18350601196289,286.0018005371094,2.5870718955993652,329.467529296875,147.43333435058594,167.96084594726562,234.13876342773438,0.010781999677419662
2020-10-13,117.9298095703125,0.10885199904441833,76.67578125,11425.8994140625,1.0091350078582764,77.88639068603516,327.89990234375,0.017697999253869057,274.63336181640625,214.03512573242188,14.205689430236816,285.9921569824219,2.404910087585449,327.3173828125,148.88333129882812,167.07415771484375,233.84703063964844,0.010700000450015068
2020-10-14,118.01744842529297,0.10729700326919556,76.71928405761719,11429.5068359375,1.008178949356079,77.70597076416016,325.8468933105469,0.01723499968647957,270.3369140625,212.1143341064453,14.053146362304688,283.603271484375,2.3146350383758545,325.2607421875,153.76666259765625,165.9634552001953,231.95021057128906,0.010621000081300735
2020-10-15,117.5500259399414,0.10663499683141708,76.67578125,11495.349609375,1.0113320350646973,77.30984497070312,325.4457702636719,0.017190000042319298,265.26470947265625,210.96180725097656,13.928271293640137,281.7000732421875,2.2664361000061035,324.8587341308594,149.6266632080078,166.01942443847656,230.87057495117188,0.010514000430703163
2020-10-16,115.90425872802734,0.10406400263309479,76.61486053466797,11322.123046875,1.00928795337677,77.9177017211914,325.1565246582031,0.016253000125288963,264.4790344238281,210.96180725097656,13.770242691040039,280.1561279296875,2.149385929107666,324.66241455078125,146.55667114257812,165.7207489013672,229.85891723632812,0.010452000424265862
2020-10-19,112.94386291503906,0.10867699980735779,76.54527282714844,11742.037109375,1.0118629932403564,76.04145050048828,320.2760009765625,0.01620499975979328,259.9737854003906,205.7372283935547,13.457430839538574,275.5825500488281,2.058079957962036,319.72650146484375,143.61000061035156,163.34999084472656,226.3863525390625,0.010487000457942486
2020-10-20,114.43379974365234,0.1024940013885498,76.41477966308594,11916.3349609375,1.008160948753357,77.09164428710938,321.53582763671875,0.01563199982047081,266.10015869140625,206.15017700195312,13.604742050170898,276.1748352050781,1.8886719942092896,321.0071716308594,140.64666748046875,163.9193115234375,227.2326202392578,0.010545000433921814
2020-10-21,113.81053924560547,0.10618700087070465,76.32779693603516,12823.689453125,1.0080749988555908,78.82674407958984,320.9105529785156,0.01638299971818924,277.209228515625,206.29425048828125,13.484350204467773,275.9612731933594,1.8903779983520508,320.3995361328125,140.8800048828125,163.3593292236328,226.95054626464844,0.010424000211060047
2020-10-22,112.71985626220703,0.11057200282812119,76.19730377197266,12965.8916015625,1.008213996887207,79.85408782958984,322.73956298828125,0.017403999343514442,276.6025695800781,206.3806915283203,13.321089744567871,275.95147705078125,1.9556529521942139,322.1570739746094,141.92999267578125,164.51669311523438,226.7754364013672,0.010273999534547329
2020-10-23,112.0284423828125,0.10808300226926804,76.29300689697266,12931.5390625,1.008545994758606,81.16224670410156,323.7659912109375,0.01703999936580658,283.23614501953125,207.66761779785156,13.54965591430664,276.4952392578125,1.960034966468811,323.2508544921875,140.2100067138672,165.0580291748047,227.8843536376953,0.00965300016105175
2020-10-26,112.03819274902344,0.10309699922800064,76.40609741210938,13075.248046875,1.0065439939498901,78.74224853515625,317.8218688964844,0.016561999917030334,275.5980529785156,201.7611846923828,13.101997375488281,272.3489074707031,1.6854660511016846,317.2771301269531,140.0933380126953,162.0619354248047,224.0129852294922,0.008132999762892723
2020-10-27,113.54761505126953,0.10282699763774872,76.58878326416016,13654.21875,1.0050220489501953,79.4674072265625,316.7393493652344,0.015799999237060547,281.7443542480469,204.8056640625,13.356732368469238,274.47552490234375,1.7102320194244385,316.18341064453125,141.55999755859375,161.40855407714844,225.3358612060547,0.007273999974131584
2020-10-28,108.28897094726562,0.0989769995212555,76.48439025878906,13271.28515625,1.0094050168991089,75.08966064453125,305.9615478515625,0.015085999853909016,266.2095642089844,194.65420532226562,12.58928108215332,263.7746276855469,1.4900530576705933,305.3766174316406,135.33999633789062,156.06033325195312,216.58155822753906,0.007354999892413616
2020-10-29,112.30110931396484,0.09537599980831146,76.31908416748047,13437.8828125,1.011680006980896,77.37993621826172,309.012939453125,0.013876999728381634,279.2977294921875,196.61343383789062,12.985097885131836,268.3870544433594,1.4289360046386719,308.4802551269531,136.94332885742188,157.53504943847656,219.35374450683594,0.007586000021547079
2020-10-30,106.0102310180664,0.0933689996600151,76.1886215209961,13546.5224609375,1.0073280334472656,80.32376861572266,305.7189025878906,0.013910000212490559,261.6744079589844,194.45249938964844,12.49655818939209,261.5800476074219,1.4413360357284546,305.264404296875,129.34666442871094,155.86431884765625,214.74313354492188,0.006297999992966652
2020-11-02,105.92257690429688,0.0921429991722107,76.29405212402344,13550.4892578125,0.9986559748649597,80.7318344116211,309.2088623046875,0.013687999919056892,259.9339599609375,194.31800842285156,12.543170928955078,262.16259765625,1.474071979522705,308.6858825683594,133.50332641601562,157.4883575439453,215.4921112060547,0.006577000021934509
2020-11-03,107.54888153076172,0.09343399852514267,76.27662658691406,13950.30078125,1.0085619688034058,81.7924575805664,314.7331848144531,0.01271700020879507,263.8525085449219,198.25567626953125,12.980607986450195,266.69744873046875,1.4122339487075806,314.1360778808594,141.3000030517578,160.51251220703125,219.39266967773438,0.006147999782115221
