AAPL,ARKK,BNB-USD,BTC-USD,DIA,EFA,ETH-USD,F,GM,GOOGL,IWM,LINK-USD,MCD,MSFT,QQQ,SBUX,SOL-USD,SPY,STETH-USD,TGT,TRX-USD,TSLA,USDC-USD,USDT-USD,VOO,VTI,WMT,XLF,XLK,XRP-USD,^GSPC
127.60690307617188,130.65745544433594,31.097898483276367,23241.345703125,276.7403869628906,63.04370880126953,583.714599609375,6.900062084197998,41.03888702392578,85.81958770751953,187.896484375,10.83131217956543,190.27830505371094,212.4744110107422,299.4713134765625,91.85031127929688,1.2056920528411865,344.1318054199219,588.6553344726562,154.15733337402344,0.024819999933242798,215.32666015625,0.9999390244483948,0.999426007270813,315.3251647949219,179.90264892578125,44.694583892822266,26.60895347595215,123.4879150390625,0.25860199332237244,3690.010009765625
128.59103393554688,128.7889862060547,32.50059127807617,23735.94921875,277.4200744628906,63.06986999511719,611.607177734375,6.800284385681152,40.19780349731445,86.11405944824219,187.77386474609375,11.575453758239746,189.71292114257812,214.1374969482422,300.79278564453125,91.80530548095703,1.3624080419540405,345.4705810546875,611.7874755859375,154.40411376953125,0.02769700065255165,220.58999633789062,1.000074028968811,0.9999309778213501,316.5853576660156,180.2035675048828,44.78196716308594,26.645771026611328,124.30658721923828,0.33781901001930237,3703.06005859375
133.19021606445312,125.66194915771484,35.84455871582031,27084.80859375,279.23883056640625,63.584102630615234,730.3973388671875,6.823310852050781,40.27513885498047,88.09042358398438,187.0756378173828,12.62838077545166,192.07322692871094,216.2620849609375,303.824462890625,93.90223693847656,1.515684962272644,348.4384765625,727.0736694335938,155.46176147460938,0.029532000422477722,221.22999572753906,1.0001009702682495,0.9986029863357544,319.3389892578125,181.34376525878906,45.31873321533203,26.774625778198242,125.71280670166016,0.2479580044746399,3735.360107421875
131.41673278808594,122.28227233886719,38.95283126831055,27362.4375,278.7428894042969,63.9937629699707,731.5201416015625,6.769583225250244,40.188133239746094,87.28597259521484,183.45242309570312,11.771124839782715,190.89756774902344,215.48338317871094,304.096435546875,95.06317901611328,1.6743450164794922,347.773681640625,720.873046875,154.27195739746094,0.02769000083208084,221.99667358398438,0.9999780058860779,0.9985899925231934,318.6669616699219,180.5867156982422,45.0316162109375,26.682586669921875,125.11566162109375,0.22096200287342072,3727.0400390625
130.29623413085938,125.01670837402344,38.13629913330078,28840.953125,279.3582763671875,64.08091735839844,751.6189575195312,6.800284385681152,40.44915771484375,86.21784973144531,185.32066345214844,11.253575325012207,189.865478515625,213.10891723632812,304.106201171875,95.36917877197266,1.5354570150375366,348.2698974609375,720.6165771484375,153.2495880126953,0.026945000514388084,231.5933380126953,1.0000109672546387,1.0002750158309937,319.09625244140625,181.07275390625,44.994178771972656,26.8022403717041,125.0482406616211,0.21182799339294434,3732.0400390625
129.2926025390625,122.4494857788086,37.376033782958984,29001.720703125,280.8830261230469,63.592830657958984,737.8034057617188,6.746557235717773,40.25580596923828,87.03173828125,184.9904327392578,11.270538330078125,192.57579040527344,213.82028198242188,304.8543395996094,96.27814483642578,1.5108979940414429,350.03948974609375,731.0296630859375,155.5851287841797,0.026832999661564827,235.22332763671875,0.9998070001602173,1.0005979537963867,320.8138427734375,181.90447998046875,44.98480987548828,27.133586883544922,125.23119354248047,0.2198459953069687,3756.070068359375
126.0965805053711,122.64620971679688,40.926353454589844,31971.9140625,277.6957092285156,63.924034118652344,1040.2330322265625,6.539325714111328,39.163368225097656,85.71531677246094,182.57492065429688,13.571063041687012,188.6628875732422,209.27317810058594,300.5499267578125,92.7862777709961,2.4850969314575195,345.2740173339844,991.251220703125,156.55462646484375,0.030852999538183212,243.2566680908203,0.9993720054626465,1.0001280307769775,316.4639587402344,179.31570434570312,45.727535247802734,26.765422821044922,123.18931579589844,0.23667700588703156,3700.64990234375
127.65563201904297,125.6658935546875,41.73460006713867,33992.4296875,279.0919494628906,64.5864486694336,1100.006103515625,6.639103412628174,40.27513885498047,86.40654754638672,185.39610290527344,14.539868354797363,189.79367065429688,209.4750518798828,303.0275573730469,93.0922622680664,2.157217025756836,347.6520690917969,1103.26123046875,158.96951293945312,0.02863200008869171,245.0366668701172,0.9997490048408508,1.002202033996582,318.5456237792969,180.7642822265625,45.48412322998047,26.88507652282715,123.98873901367188,0.22675000131130219,3726.860107421875
123.35852813720703,126.12818145751953,42.16595458984375,36824.36328125,283.10595703125,65.32732391357422,1207.1121826171875,6.784933567047119,41.55126190185547,85.5539321899414,192.98216247558594,17.155256271362305,189.36293029785156,204.0435028076172,298.83001708984375,93.76722717285156,1.929216980934143,349.73046875,1181.4349365234375,166.50509643554688,0.030515000224113464,251.9933319091797,0.9996809959411621,1.001528024673462,320.4777526855469,182.39047241210938,45.76811599731445,28.072402954101562,121.85050964355469,0.2508949935436249,3748.139892578125
127.56793212890625,136.11183166503906,43.44948959350586,39371.04296875,285.20941162109375,65.39705657958984,1225.6781005859375,6.953789234161377,41.87996292114258,88.10931396484375,196.41665649414062,16.031967163085938,190.2423858642578,209.84996032714844,306.0592346191406,93.0112533569336,2.3727450370788574,354.92657470703125,1214.6373291015625,168.4264373779297,0.031067999079823494,272.0133361816406,0.9979119896888733,1.0003999471664429,325.2662353515625,185.315673828125,45.76498794555664,28.477380752563477,125.13491821289062,0.32600200176239014,3803.7900390625
