Date,AADR,ARKW,BLCN,BLOK,FPX,PSI,QQQ,QTUM,URA,XSD
2020-10-12,54.39408874511719,114.25492858886719,34.869346618652344,20.877124786376953,101.10858154296875,28.054492950439453,286.0018005371094,34.239383697509766,9.420029640197754,137.0947265625
2020-10-13,54.748085021972656,116.43533325195312,34.617515563964844,20.92945671081543,102.04248809814453,28.077505111694336,285.9920959472656,34.105079650878906,9.283384323120117,136.61129760742188
2020-10-14,54.170509338378906,115.61888885498047,34.42379379272461,20.788558959960938,101.12822723388672,27.748804092407227,283.6033020019531,33.88442611694336,9.240681648254395,135.80239868164062
2020-10-15,53.56499099731445,114.4758529663086,34.24945831298828,20.66779136657715,100.93161010742188,27.692922592163086,281.7000427246094,33.644596099853516,9.172359466552734,135.6149139404297
2020-10-16,53.56499099731445,113.64019012451172,34.24945831298828,20.627531051635742,100.86280059814453,27.436542510986328,280.15618896484375,33.62540054321289,9.138195991516113,135.1315460205078
2020-10-19,53.08057403564453,113.33281707763672,33.852333068847656,20.635581970214844,100.0075454711914,27.27547264099121,275.58245849609375,33.54866409301758,9.291924476623535,134.9145050048828
2020-10-20,53.80719757080078,112.7084732055664,34.070255279541016,20.7563533782959,99.4275131225586,27.344505310058594,276.1749267578125,33.56785202026367,9.496893882751465,135.0526580810547
2020-10-21,53.45320510864258,112.87176513671875,34.14290237426758,21.005945205688477,99.82073974609375,27.03553009033203,275.9612121582031,33.462318420410156,9.565217018127441,132.8231201171875
2020-10-22,52.35395050048828,112.7084732055664,34.13321304321289,20.9576358795166,100.83330535888672,27.084829330444336,275.95147705078125,33.4910888671875,9.565217018127441,134.51004028320312
2020-10-23,52.465736389160156,113.86111450195312,34.17196273803711,20.933483123779297,101.9441909790039,27.203163146972656,276.4952392578125,33.644596099853516,9.522514343261719,135.1611328125
2020-10-26,51.496910095214844,111.63268280029297,33.377716064453125,20.522863388061523,99.95838928222656,26.65423583984375,272.3489074707031,32.74280548095703,9.394408226013184,132.57647705078125
2020-10-27,51.543487548828125,113.5249252319336,33.26149368286133,20.812715530395508,100.23365020751953,26.40771484375,274.47552490234375,32.6276741027832,9.25776195526123,131.83665466308594
2020-10-28,49.96915054321289,110.08623504638672,32.20570755004883,20.193565368652344,98.09054565429688,25.54651641845703,263.77459716796875,31.486047744750977,9.018633842468262,127.79192352294922
2020-10-29,50.51877212524414,112.38189697265625,32.4769287109375,20.329631805419922,97.25495910644531,26.789003372192383,268.38702392578125,32.04247283935547,9.129656791687012,132.29042053222656
2020-10-30,49.69899368286133,106.43621826171875,32.07012176513672,20.03173065185547,93.91249084472656,26.384700775146484,261.5800476074219,31.486047744750977,9.232142448425293,130.73171997070312
2020-11-02,50.723716735839844,106.80123138427734,32.22509002685547,19.94316864013672,94.83659362792969,26.611507415771484,262.16278076171875,31.68750762939453,9.274842262268066,130.69227600097656
2020-11-03,51.795013427734375,108.76070404052734,32.89341735839844,20.2088623046875,96.69459533691406,27.43982696533203,266.69744873046875,32.56052017211914,9.420029640197754,133.3163604736328
2020-11-04,53.12715148925781,114.08203125,33.663455963134766,20.933483123779297,101.42314147949219,28.517959594726562,278.6024475097656,33.328006744384766,9.180899620056152,136.95657348632812
2020-11-05,55.2697639465332,117.12691497802734,34.53034591674805,21.706409454345703,103.79234313964844,29.701276779174805,285.8658142089844,34.36411666870117,9.445651054382324,143.6549530029297
2020-11-06,55.521270751953125,120.21981811523438,34.71437454223633,21.97210693359375,106.13204956054688,30.26335334777832,286.0794677734375,34.44085693359375,9.522514343261719,146.03240966796875
2020-11-09,53.108524322509766,112.85255432128906,35.208351135253906,21.480974197387695,101.29535675048828,30.062849044799805,280.2337646484375,34.74784851074219,9.676240921020508,143.9410858154297
2020-11-10,52.20490646362305,108.53978729248047,34.665950775146484,20.90932846069336,99.496337890625,29.227949142456055,275.21356201171875,34.229801177978516,9.778726577758789,139.7681121826172
2020-11-11,53.03399658203125,112.97743225097656,35.063072204589844,21.39240837097168,101.78687286376953,30.269927978515625,281.36993408203125,34.9205322265625,9.992236137390137,144.5230712890625
2020-11-12,52.894264221191406,113.41927337646484,34.695003509521484,21.24748420715332,102.04248809814453,29.91164207458496,280.04931640625,34.47923278808594,9.744563102722168,142.2639923095703
2020-11-13,53.7606201171875,113.70742797851562,35.33427429199219,21.66213035583496,102.12113952636719,30.279787063598633,282.5060119628906,35.15077590942383,9.795805931091309,143.78318786621094
2020-11-16,53.341407775878906,113.77466583251953,35.98323440551758,22.036516189575195,102.67163848876953,30.956907272338867,284.7103576660156,35.956642150878906,9.78726577758789,146.58486938476562
2020-11-17,52.819740295410156,115.72454071044922,35.896053314208984,22.41493034362793,103.63505554199219,30.789276123046875,283.8072509765625,35.82233810424805,9.78726577758789,145.8943328857422
2020-11-18,52.95016098022461,116.1375732421875,35.61516571044922,22.076772689819336,103.62522888183594,30.5033016204834,281.70977783203125,35.66883087158203,9.770184516906738,144.18768310546875
2020-11-19,53.02467727661133,119.23046875,35.88636779785156,22.38272476196289,105.46357727050781,30.976633071899414,283.9140625,36.11973190307617,9.744563102722168,147.7390899658203
2020-11-20,53.63951873779297,121.468505859375,36.17695236206055,22.664520263671875,106.16154479980469,30.970056533813477,281.9720153808594,36.244441986083984,9.761645317077637,148.10406494140625
2020-11-23,53.05263137817383,123.90824127197266,36.93245315551758,23.60652732849121,107.51817321777344,31.43680763244629,281.9816589355469,36.62818908691406,9.821426391601562,150.20533752441406
