Date,ARKK,DIA,EFA,IWM,QQQ,SPY,VOO,VTI,XLF,XLK
2020-12-28,125.66194915771484,279.3330383300781,63.584102630615234,187.0756378173828,303.82440185546875,348.4385070800781,319.3389892578125,181.34373474121094,26.774625778198242,125.71282958984375
2020-12-29,122.28227233886719,278.8368835449219,63.99375915527344,183.45242309570312,304.0964660644531,347.7738037109375,318.6669006347656,180.58673095703125,26.682584762573242,125.11564636230469
2020-12-30,125.01670837402344,279.4525146484375,64.08092498779297,185.32066345214844,304.1061706542969,348.2699279785156,319.0963134765625,181.07273864746094,26.8022403717041,125.0482177734375
2020-12-31,122.4494857788086,280.9778137207031,63.59282302856445,184.9904022216797,304.8544006347656,350.0394287109375,320.8138732910156,181.9044952392578,27.13358497619629,125.23126983642578
2021-01-04,122.64620971679688,277.7892761230469,63.924034118652344,182.57493591308594,300.5498046875,345.27392578125,316.4639892578125,179.3157196044922,26.765424728393555,123.1893081665039
2021-01-05,125.6658935546875,279.1860656738281,64.58646392822266,185.39614868164062,303.0275573730469,347.65203857421875,318.54559326171875,180.7642822265625,26.88507843017578,123.98875427246094
2021-01-06,126.12818145751953,283.20135498046875,65.32732391357422,192.982177734375,298.8299560546875,349.73040771484375,320.4777526855469,182.39048767089844,28.072399139404297,121.85051727294922
2021-01-07,136.11183166503906,285.30572509765625,65.39706420898438,196.4167022705078,306.0592346191406,354.9265441894531,325.2663879394531,185.31568908691406,28.47738265991211,125.13489532470703
2021-01-08,140.1446075439453,285.8017883300781,66.0071792602539,195.9920654296875,309.99462890625,356.9488525390625,327.0958251953125,186.2128448486328,28.45897102355957,125.94397735595703
2021-01-11,135.95443725585938,285.0024719238281,65.144287109375,195.82220458984375,305.51513671875,354.542724609375,324.9582824707031,185.1007080078125,28.55101776123047,124.90373992919922
2021-01-12,138.67904663085938,285.5260314941406,65.44062805175781,199.33216857910156,305.0293273925781,354.61767578125,324.98626708984375,185.75489807128906,28.845539093017578,124.30661010742188
2021-01-13,139.39706420898438,285.4250793457031,65.35347747802734,197.907470703125,307.0892333984375,355.5725402832031,325.7984313964844,185.96054077148438,28.827133178710938,125.09639739990234
2021-01-14,142.8987274169922,284.89215087890625,65.87644958496094,201.86090087890625,305.4471130371094,354.3273620605469,324.6969299316406,185.78294372558594,28.955991744995117,123.99839782714844
2021-01-15,139.58395385742188,283.2356872558594,64.84795379638672,198.8509979248047,303.0275573730469,351.74334716796875,322.38201904296875,184.16615295410156,28.47738265991211,122.72698974609375
2021-01-19,143.73480224609375,284.33880615234375,65.3186264038086,201.3985595703125,307.4488220214844,354.5052490234375,324.9303283691406,185.84835815429688,28.55101776123047,124.32587432861328
2021-01-20,144.69873046875,286.5909118652344,65.76314544677734,202.28549194335938,314.60028076171875,359.4111633300781,329.345458984375,188.19415283203125,28.43136215209961,126.79155731201172
2021-01-21,142.43641662597656,286.682861328125,65.81543731689453,200.530517578125,317.116943359375,359.7388916015625,329.653564453125,188.05393981933594,28.127620697021484,128.42897033691406
