Date,BNB-USD,BTC-USD,ETH-USD,LINK-USD,SOL-USD,STETH-USD,TRX-USD,USDC-USD,USDT-USD,XRP-USD
2020-12-23,31.097898483276367,23241.345703125,583.714599609375,10.83131217956543,1.2056920528411865,588.6553344726562,0.024819999933242798,0.9999390244483948,0.999426007270813,0.25860199332237244
2020-12-24,32.50059127807617,23735.94921875,611.607177734375,11.575453758239746,1.3624080419540405,611.7874755859375,0.02769700065255165,1.000074028968811,0.9999309778213501,0.33781901001930237
2020-12-25,33.164974212646484,24664.791015625,626.4107055664062,11.546685218811035,1.445402979850769,626.13623046875,0.02849699929356575,1.000190019607544,1.000167965888977,0.3180910050868988
2020-12-26,33.47713851928711,26437.037109375,635.8358154296875,10.964874267578125,1.3242379426956177,627.4724731445312,0.027737999334931374,0.9997329711914062,0.9984809756278992,0.29471299052238464
2020-12-27,33.51184844970703,26272.294921875,682.642333984375,12.129708290100098,1.3030420541763306,682.4671630859375,0.028845999389886856,1.0000790357589722,0.9988539814949036,0.28303900361061096
2020-12-28,35.84455871582031,27084.80859375,730.3973388671875,12.62838077545166,1.515684962272644,727.0736694335938,0.029532000422477722,1.0001009702682495,0.9986029863357544,0.2479580044746399
2020-12-29,38.95283126831055,27362.4375,731.5201416015625,11.771124839782715,1.6743450164794922,720.873046875,0.02769000083208084,0.9999780058860779,0.9985899925231934,0.22096200287342072
2020-12-30,38.13629913330078,28840.953125,751.6189575195312,11.253575325012207,1.5354570150375366,720.6165771484375,0.026945000514388084,1.0000109672546387,1.0002750158309937,0.21182799339294434
2020-12-31,37.376033782958984,29001.720703125,737.8034057617188,11.270538330078125,1.5108979940414429,731.0296630859375,0.026832999661564827,0.9998070001602173,1.0005979537963867,0.2198459953069687
2021-01-01,37.90501022338867,29374.15234375,730.3675537109375,11.872554779052734,1.8420840501785278,722.1671752929688,0.0269399993121624,0.9998229742050171,1.0019160509109497,0.23744399845600128
2021-01-02,38.24159240722656,32127.267578125,774.5349731445312,12.220136642456055,1.7992750406265259,763.078125,0.027218999341130257,1.0001620054244995,1.000599980354309,0.2216549962759018
2021-01-03,41.14897918701172,32782.0234375,975.5076904296875,13.650172233581543,2.1617519855499268,952.1997680664062,0.0294950008392334,0.9997360110282898,1.000514030456543,0.2258480042219162
2021-01-04,40.926353454589844,31971.9140625,1040.2330322265625,13.571063041687012,2.4850969314575195,991.251220703125,0.030852999538183212,0.9993720054626465,1.0001280307769775,0.23667700588703156
2021-01-05,41.73460006713867,33992.4296875,1100.006103515625,14.539868354797363,2.157217025756836,1103.26123046875,0.02863200008869171,0.9997490048408508,1.002202033996582,0.22675000131130219
2021-01-06,42.16595458984375,36824.36328125,1207.1121826171875,17.155256271362305,1.929216980934143,1181.4349365234375,0.030515000224113464,0.9996809959411621,1.001528024673462,0.2508949935436249
2021-01-07,43.44948959350586,39371.04296875,1225.6781005859375,16.031967163085938,2.3727450370788574,1214.6373291015625,0.031067999079823494,0.9979119896888733,1.0003999471664429,0.32600200176239014
2021-01-08,42.39531707763672,40797.609375,1224.1971435546875,15.288084983825684,3.2198870182037354,1228.1851806640625,0.030612999573349953,0.9996839761734009,1.0000449419021606,0.32322999835014343
2021-01-09,43.93285369873047,40254.546875,1281.0772705078125,17.607513427734375,3.3853819370269775,1247.8734130859375,0.034026000648736954,0.9997770190238953,1.0029469728469849,0.32691600918769836
2021-01-10,42.4484748840332,38356.44140625,1262.2467041015625,16.2474308013916,3.466110944747925,1281.677001953125,0.0329350009560585,1.0000900030136108,1.0002230405807495,0.31833600997924805
2021-01-11,38.371360778808594,35566.65625,1090.1453857421875,14.556933403015137,3.1080899238586426,1095.703125,0.02896299958229065,0.9999510049819946,1.000586986541748,0.28890499472618103
2021-01-12,38.111610412597656,33922.9609375,1043.4345703125,13.915848731994629,3.6133980751037598,1034.85302734375,0.028558000922203064,1.0005979537963867,1.0004140138626099,0.2921229898929596
2021-01-13,40.13593292236328,37316.359375,1130.7393798828125,15.93009090423584,3.513782024383545,1138.37060546875,0.030195999890565872,0.9998109936714172,1.0000170469284058,0.3055799901485443
2021-01-14,41.79368209838867,39187.328125,1218.4530029296875,17.826250076293945,3.2781639099121094,1211.4788818359375,0.030009999871253967,1.0001150369644165,0.9989640116691589,0.2954379916191101
2021-01-15,40.91897964477539,36825.3671875,1171.8345947265625,20.709726333618164,3.2501609325408936,1170.951904296875,0.029789999127388,1.0000849962234497,0.999845027923584,0.28040599822998047
2021-01-16,43.17182540893555,36178.140625,1233.53759765625,20.21839714050293,3.4470551013946533,1224.3394775390625,0.030153000727295876,1.000133991241455,1.000195026397705,0.2801879942417145
2021-01-17,45.68461227416992,35791.27734375,1230.1722412109375,23.166772842407227,3.81813907623291,1197.7623291015625,0.03014099970459938,1.0004550218582153,1.0004140138626099,0.2773840129375458
2021-01-18,45.353172302246094,36630.07421875,1257.279541015625,22.03626251220703,3.7955150604248047,1226.3419189453125,0.03161799907684326,1.000566005706787,1.0008039474487305,0.2847689986228943
2021-01-19,42.7855339050293,36069.8046875,1377.2958984375,20.754093170166016,3.6418659687042236,1358.8095703125,0.030791999772191048,1.0000410079956055,1.0004359483718872,0.2943139970302582
2021-01-20,42.60689926147461,35547.75,1382.2740478515625,21.846776962280273,3.7235779762268066,1342.8603515625,0.030507000163197517,0.9999769926071167,1.0006860494613647,0.2965179979801178
2021-01-21,38.64583969116211,30825.69921875,1121.5709228515625,18.424272537231445,2.9905359745025635,1118.6336669921875,0.02770400047302246,1.000419020652771,0.9996960163116455,0.26894599199295044
