Date,AAPL,F,GM,GOOGL,MCD,MSFT,SBUX,TGT,TSLA,WMT
2020-10-23,111.90145111083984,6.263014793395996,35.60569763183594,81.0897216796875,204.04408264160156,207.32681274414062,81.33320617675781,140.63772583007812,140.2100067138672,44.727691650390625
2020-10-26,111.91117095947266,6.163236618041992,34.62928009033203,78.67188262939453,200.08290100097656,201.43003845214844,80.31202697753906,138.6540985107422,140.0933380126953,44.20222473144531
2020-10-27,113.41888427734375,6.07880973815918,33.73019027709961,79.39640045166016,198.923095703125,204.4695281982422,80.6613998413086,137.8290252685547,141.55999755859375,44.4229850769043
2020-10-28,108.16621398925781,5.909953594207764,32.956787109375,75.0225601196289,191.53611755371094,194.33474731445312,78.0816421508789,136.23155212402344,135.33999633789062,43.54303741455078
2020-10-29,112.1738052368164,6.063459396362305,33.73019027709961,77.31078338623047,191.76806640625,196.2907257080078,79.09384155273438,135.38890075683594,136.94332885742188,43.5057373046875
2020-10-30,105.89007568359375,5.932979106903076,33.382164001464844,80.25199127197266,190.02833557128906,194.13339233398438,77.89354705810547,133.60716247558594,129.34666442871094,43.14194107055664
2020-11-02,105.802490234375,5.917628288269043,33.40149688720703,80.65968322753906,189.63580322265625,193.99916076660156,77.00676727294922,135.51181030273438,133.50332641601562,43.65497589111328
2020-11-03,107.42694091796875,6.0481085777282715,34.174896240234375,81.71936798095703,193.41851806640625,197.93031311035156,79.1744613647461,137.565673828125,141.3000030517578,44.39500427246094
2020-11-04,111.81390380859375,5.863900661468506,34.06855773925781,86.69456481933594,191.69667053222656,207.48023986816406,80.4284896850586,137.46913146972656,140.32666015625,44.14004135131836
2020-11-05,115.7826156616211,6.1325364112854,35.905399322509766,87.5213623046875,192.9813690185547,214.09613037109375,81.17195892333984,139.2333984375,146.02999877929688,44.60954666137695
2020-11-06,115.65105438232422,5.979031562805176,36.22442626953125,87.3838119506836,193.20440673828125,214.50840759277344,81.19884490966797,141.75244140625,143.31666564941406,45.32468032836914
2020-11-09,113.34174346923828,6.293716907501221,37.66489791870117,87.46772003173828,190.224609375,209.39788818359375,85.88355255126953,135.96823120117188,140.4199981689453,44.631309509277344
2020-11-10,113.00070190429688,6.4318718910217285,39.714420318603516,86.29084014892578,190.31385803222656,202.32174682617188,84.52460479736328,138.7418670654297,136.7866668701172,45.2593994140625
2020-11-11,116.43057250976562,6.393496036529541,39.21171188354492,86.76309204101562,194.5069580078125,207.63365173339844,85.53257751464844,140.16375732421875,139.0433349609375,46.011863708496094
2020-11-12,116.15773010253906,6.3013916015625,38.01292419433594,86.54409790039062,190.09080505371094,206.5693359375,84.1736068725586,140.02333068847656,137.25332641601562,46.08958435058594
2020-11-13,116.20645141601562,6.55467414855957,39.820762634277344,88.00601196289062,190.27816772460938,207.59527587890625,86.00054168701172,142.96371459960938,136.1666717529297,46.80784225463867
2020-11-16,117.21983337402344,6.7542314529418945,40.72952651977539,88.09391021728516,193.3560791015625,208.28564453125,87.99845886230469,144.9824676513672,136.02999877929688,47.39861297607422
2020-11-17,116.33313751220703,6.715856075286865,40.58450698852539,87.4796371459961,192.7137451171875,205.62973022460938,88.7364273071289,143.6957244873047,147.20333862304688,46.444053649902344
2020-11-18,115.0079345703125,6.769581317901611,41.29990768432617,86.43583679199219,192.2765655517578,202.9187469482422,88.1154556274414,147.05364990234375,162.2133331298828,46.35698318481445
2020-11-19,115.60233306884766,6.769581317901611,41.396583557128906,87.32621002197266,191.91079711914062,204.20692443847656,87.98046112060547,151.03736877441406,166.42333984375,47.29911422729492
2020-11-20,114.33562469482422,6.708180904388428,41.60927200317383,86.22429656982422,191.0008087158203,202.25540161132812,87.30548858642578,151.86582946777344,163.20333862304688,46.71456527709961
2020-11-23,110.93498229980469,6.800283908843994,43.281761169433594,85.78631591796875,193.59698486328125,201.9862518310547,87.1884994506836,156.49293518066406,173.9499969482422,46.92910385131836
2020-11-24,112.22118377685547,7.253124713897705,44.915584564208984,87.59088134765625,196.01473999023438,205.5912322998047,88.46643829345703,156.75733947753906,185.1266632080078,47.062801361083984
2020-11-25,113.05917358398438,6.96914005279541,43.94882583618164,87.60230255126953,195.68460083007812,205.6008758544922,88.37645721435547,158.4847869873047,191.3333282470703,47.208946228027344
2020-11-27,113.60482788085938,6.976814270019531,43.5621223449707,88.73894500732422,194.78355407714844,206.9082794189453,88.79043579101562,158.44070434570312,195.25332641601562,47.137428283691406
2020-11-30,116.00182342529297,6.96914005279541,42.38267517089844,87.119140625,195.14251708984375,205.79315185546875,88.21444702148438,158.2292022705078,189.1999969482422,47.5074348449707
2020-12-01,119.5778579711914,7.091946601867676,43.194759368896484,89.1530990600586,193.97581481933594,207.85040283203125,88.9344253540039,157.80616760253906,194.9199981689453,47.46080780029297
2020-12-02,119.92865753173828,7.061244010925293,43.098079681396484,90.62345123291016,189.2372589111328,207.04286193847656,89.01541900634766,155.47935485839844,189.60667419433594,46.8016242980957
2020-12-03,119.792236328125,7.068917274475098,42.62436294555664,90.4680404663086,189.82061767578125,205.95655822753906,90.09541320800781,154.1661834716797,197.7933349609375,46.42228698730469
2020-12-04,119.1198959350586,7.16869592666626,42.924068450927734,90.56338500976562,189.1295623779297,206.07192993164062,92.04830169677734,154.26309204101562,199.67999267578125,46.301021575927734
2020-12-07,120.58148956298828,7.076594352722168,42.83705520629883,90.22918701171875,187.46929931640625,206.00462341308594,91.26534271240234,152.39466857910156,213.9199981689453,46.052276611328125
