Date,AAPL,ARKK,BNB-USD,BTC-USD,DIA,EFA,ETH-USD,F,GM,GOOGL,IWM,LINK-USD,MCD,MSFT,QQQ,SBUX,SOL-USD,SPY,STETH-USD,TGT,TRX-USD,TSLA,USDC-USD,USDT-USD,VOO,VTI,WMT,XLF,XLK,XRP-USD,^GSPC
2020-12-23,127.6069107055664,130.65745544433594,31.097898483276367,23241.345703125,276.8337097167969,63.04370880126953,583.714599609375,6.9000630378723145,41.038883209228516,85.81958770751953,187.89651489257812,10.83131217956543,190.27833557128906,212.4744110107422,299.4713134765625,91.85029602050781,1.2056920528411865,344.1317443847656,588.6553344726562,154.1573486328125,0.024819999933242798,215.32666015625,0.9999390244483948,0.999426007270813,316.2270202636719,180.40274047851562,44.69458770751953,26.608951568603516,123.4878921508789,0.25860199332237244,3690.010009765625
2020-12-24,128.59103393554688,128.7889862060547,32.50059127807617,23735.94921875,277.51373291015625,63.069862365722656,611.607177734375,6.800283908843994,40.19780349731445,86.11406707763672,187.7738037109375,11.575453758239746,189.71292114257812,214.13754272460938,300.7927551269531,91.8053207397461,1.3624080419540405,345.4706115722656,611.7874755859375,154.4040985107422,0.02769700065255165,220.58999633789062,1.000074028968811,0.9999309778213501,317.4907531738281,180.70452880859375,44.78196716308594,26.64577293395996,124.30658721923828,0.33781901001930237,3703.06005859375
2020-12-28,133.190185546875,125.66195678710938,35.84455871582031,27084.80859375,279.3331604003906,63.58412170410156,730.3973388671875,6.823310852050781,40.275146484375,88.09043884277344,187.07562255859375,12.62838077545166,192.07321166992188,216.26206970214844,303.8244323730469,93.9022216796875,1.515684962272644,348.4383850097656,727.0736694335938,155.46176147460938,0.029532000422477722,221.22999572753906,1.0001009702682495,0.9986029863357544,320.2521667480469,181.84786987304688,45.318729400634766,26.774627685546875,125.71281433105469,0.2479580044746399,3735.360107421875
2020-12-29,131.41677856445312,122.28227233886719,38.95283126831055,27362.4375,278.8368225097656,63.99375915527344,731.5201416015625,6.769581317901611,40.18813705444336,87.2859878540039,183.45240783691406,11.771124839782715,190.8975372314453,215.48336791992188,304.096435546875,95.06317901611328,1.6743450164794922,347.773681640625,720.873046875,154.27191162109375,0.02769000083208084,221.99667358398438,0.9999780058860779,0.9985899925231934,319.5782775878906,181.0887451171875,45.0316276550293,26.68259048461914,125.11566162109375,0.22096200287342072,3727.0400390625
2020-12-30,130.29624938964844,125.01670837402344,38.13629913330078,28840.953125,279.4526062011719,64.08092498779297,751.6189575195312,6.800283908843994,40.449161529541016,86.21784210205078,185.32064819335938,11.253575325012207,189.86550903320312,213.10888671875,304.106201171875,95.36917114257812,1.5354570150375366,348.26995849609375,720.6165771484375,153.2495574951172,0.026945000514388084,231.5933380126953,1.0000109672546387,1.0002750158309937,320.0089111328125,181.57608032226562,44.994178771972656,26.802242279052734,125.0482406616211,0.21182799339294434,3732.0400390625
2020-12-31,129.29261779785156,122.4494857788086,37.376033782958984,29001.720703125,280.97784423828125,63.592838287353516,737.8034057617188,6.746559143066406,40.25580978393555,87.03173828125,184.99038696289062,11.270538330078125,192.57579040527344,213.82025146484375,304.8543701171875,96.27813720703125,1.5108979940414429,350.0394592285156,731.0296630859375,155.5851593017578,0.026832999661564827,235.22332763671875,0.9998070001602173,1.0005979537963867,321.7312927246094,182.41017150878906,44.98482131958008,27.133586883544922,125.23123168945312,0.2198459953069687,3756.070068359375
2021-01-04,126.09659576416016,122.64620971679688,40.926353454589844,31971.9140625,277.7893981933594,63.92402648925781,1040.2330322265625,6.539325714111328,39.163360595703125,85.71531677246094,182.57493591308594,13.571063041687012,188.66285705566406,209.27316284179688,300.5498352050781,92.78628540039062,2.4850969314575195,345.2740173339844,991.251220703125,156.55462646484375,0.030852999538183212,243.2566680908203,0.9993720054626465,1.0001280307769775,317.3690490722656,179.81419372558594,45.727535247802734,26.765424728393555,123.1893081665039,0.23667700588703156,3700.64990234375
2021-01-05,127.65556335449219,125.6658935546875,41.73460006713867,33992.4296875,279.1861572265625,64.58645629882812,1100.006103515625,6.639103412628174,40.275146484375,86.40655517578125,185.39614868164062,14.539868354797363,189.79364013671875,209.47503662109375,303.0276184082031,93.09227752685547,2.157217025756836,347.6519775390625,1103.26123046875,158.9695587158203,0.02863200008869171,245.0366668701172,0.9997490048408508,1.002202033996582,319.4565734863281,181.2667999267578,45.484130859375,26.88507843017578,123.9887466430664,0.22675000131130219,3726.860107421875
2021-01-06,123.35853576660156,126.12818145751953,42.16595458984375,36824.36328125,283.201416015625,65.32732391357422,1207.1121826171875,6.784934997558594,41.551265716552734,85.55391693115234,192.982177734375,17.155256271362305,189.36289978027344,204.04348754882812,298.8299560546875,93.7672348022461,1.929216980934143,349.7304382324219,1181.4349365234375,166.50511169433594,0.030515000224113464,251.9933319091797,0.9996809959411621,1.001528024673462,321.394287109375,182.89749145507812,45.76810073852539,28.072399139404297,121.85051727294922,0.2508949935436249,3748.139892578125
2021-01-07,127.56793975830078,136.11183166503906,43.44948959350586,39371.04296875,285.3056945800781,65.39705657958984,1225.6781005859375,6.953789710998535,41.87995910644531,88.10929870605469,196.41664123535156,16.031967163085938,190.242431640625,209.8498992919922,306.05926513671875,93.0112533569336,2.3727450370788574,354.9265441894531,1214.6373291015625,168.4264678955078,0.031067999079823494,272.0133361816406,0.9979119896888733,1.0003999471664429,326.19659423828125,185.83082580566406,45.76499557495117,28.47738265991211,125.13491821289062,0.32600200176239014,3803.7900390625
